City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,24.8,79,21,9.46,GS,1691521344
1,porto novo,6.4965,2.6036,78.62,85,12,9.33,BJ,1691521349
2,lihue,21.9789,-159.3672,81.99,72,100,21.85,US,1691521349
3,mubende,0.5606,31.39,67.78,64,68,1.54,UG,1691521349
4,chibougamau,49.9168,-74.3659,60.42,88,100,8.05,CA,1691521349
5,tshikapa,-6.4167,20.8,87.78,26,100,2.39,CD,1691521350
6,coquimbo,-29.9533,-71.3436,62.33,72,75,14.97,CL,1691521245
7,blackmans bay,-43.0167,147.3167,37.53,93,86,6.08,AU,1691521350
8,georgetown,5.4112,100.3354,79.95,89,20,3.44,MY,1691521349
9,lompoc,34.6391,-120.4579,82.54,76,75,6.91,US,1691521350
10,anloga,5.7947,0.8973,77.0,89,10,13.53,GH,1691521350
11,port douglas,-16.4833,145.4667,67.64,81,100,12.08,AU,1691521350
12,chifeng,42.2683,118.9636,65.34,94,8,4.36,CN,1691521351
13,port-aux-francais,-49.35,70.2167,33.06,75,99,26.11,TF,1691521351
14,vedasandur,10.5333,77.95,80.83,68,100,5.91,IN,1691521351
15,hawaiian paradise park,19.5933,-154.9731,81.9,81,93,11.25,US,1691521298
16,katima mulilo,-17.5,24.2667,64.53,32,0,6.2,NA,1691521352
17,edinburgh of the seven seas,-37.0676,-12.3116,55.11,90,100,27.69,SH,1691521352
18,ola,59.5833,151.2833,47.77,67,7,7.43,RU,1691521352
19,adamstown,-25.066,-130.1015,71.82,90,91,30.71,PN,1691521352
20,albany,42.6001,-73.9662,79.03,76,64,1.01,US,1691521138
21,tazovsky,67.4667,78.7,53.02,92,100,9.15,RU,1691521353
22,mandan,46.8267,-100.8896,83.8,51,0,12.66,US,1691521194
23,polonnaruwa,7.9333,81.0,80.85,63,100,10.04,LK,1691521353
24,buldana,20.5333,76.1833,72.14,84,100,10.92,IN,1691521353
25,guelmim,28.987,-10.0574,79.14,65,75,6.91,MA,1691521353
26,iskateley,67.6803,53.1512,51.22,70,100,5.17,RU,1691521354
27,whitehorse,60.7161,-135.0538,60.82,92,100,9.22,CA,1691521354
28,inarajan village,13.2736,144.7484,79.39,97,100,14.09,GU,1691521354
29,bethel,41.3712,-73.414,80.91,73,100,11.5,US,1691521142
30,lebu,-37.6167,-73.65,56.5,63,100,6.91,CL,1691521354
31,qa'en,33.7265,59.1844,75.67,26,0,18.03,IR,1691521355
